Cash flow statement:
ts_code  ann_date f_ann_date  end_date comp_type report_type end_type    net_profit finan_exp c_fr_sale_sg recp_tax_rends  n_depos_incr_fi  n_incr_loans_cb  n_inc_borr_oth_fi prem_fr_orig_contr n_incr_insured_dep n_reinsur_prem n_incr_disp_tfa  ifc_cash_incr n_incr_disp_faas  n_incr_loans_oth_bank  n_cap_incr_repur  c_fr_oth_operate_a  c_inf_fr_operate_a c_paid_goods_s  c_paid_to_for_empl  c_paid_for_taxes  n_incr_clt_loan_adv  n_incr_dep_cbob c_pay_claims_orig_inco  pay_handling_chrg pay_comm_insur_plcy  oth_cash_pay_oper_act  st_cash_out_act  n_cashflow_act  oth_recp_ral_inv_act  c_disp_withdrwl_invest  c_recp_return_invest  n_recp_disp_fiolta n_recp_disp_sobu  stot_inflows_inv_act  c_pay_acq_const_fiolta  c_paid_invest n_disp_subs_oth_biz  oth_pay_ral_inv_act n_incr_pledge_loan  stot_out_inv_act  n_cashflow_inv_act c_recp_borrow  proc_issue_bonds  oth_cash_recp_ral_fnc_act  stot_cash_in_fnc_act  free_cashflow  c_prepay_amt_borr  c_pay_dist_dpcp_int_exp incl_dvd_profit_paid_sc_ms  oth_cashpay_ral_fnc_act  stot_cashout_fnc_act  n_cash_flows_fnc_act  eff_fx_flu_cash  n_incr_cash_cash_equ  c_cash_equ_beg_period  c_cash_equ_end_period c_recp_cap_contrib incl_cash_rec_saims uncon_invest_loss  prov_depr_assets  depr_fa_coga_dpba  amort_intang_assets  lt_amort_deferred_exp  decr_deferred_exp  incr_acc_exp  loss_disp_fiolta loss_scr_fa   loss_fv_chg  invest_loss  decr_def_inc_tax_assets  incr_def_inc_tax_liab decr_inventories  decr_oper_payable  incr_oper_payable      others  im_net_cashflow_oper_act conv_debt_into_cap conv_copbonds_due_within_1y fa_fnc_leases  im_n_incr_cash_equ  net_dism_capital_add net_cash_rece_sec  credit_impa_loss  use_right_asset_dep oth_loss_asset  end_bal_cash  beg_bal_cash  end_bal_cash_equ  beg_bal_cash_equ update_flag
0   000001.SZ  20250419   20250419  20250331         2           1        1           NaN      None         None           None     2.063840e+11     6.269000e+10                NaN               None               None           None            None   4.851400e+10             None                    NaN               NaN        7.911000e+09        4.160550e+11           None        8.044000e+09      5.135000e+09         5.896500e+10     2.357400e+10                   None       2.187200e+10                None           6.320000e+10     2.531090e+11    1.629460e+11                   NaN            2.434290e+11          9.743000e+09          25000000.0             None          2.531970e+11            3.380000e+08   2.279160e+11                None                  NaN               None      2.282540e+11        2.494300e+10          None               NaN                        NaN          7.966700e+10            NaN                NaN             2.538000e+09                       None                7000000.0          2.380650e+11         -1.583980e+11    -1.300000e+08          2.936100e+10           2.569460e+11           2.863070e+11               None                None              None               NaN                NaN                  NaN                    NaN                NaN           NaN               NaN        None           NaN          NaN                      NaN                    NaN             None                NaN                NaN         NaN                       NaN               None                        None          None                 NaN          1.190700e+10              None               NaN                  NaN           None           NaN           NaN               NaN               NaN           0
1   000001.SZ  20250315   20250315  20241231         2           1        4  4.450800e+10      None         None           None     9.448600e+10              NaN                NaN               None               None           None            None   2.189790e+11             None           6.602000e+09               NaN        1.231060e+11        5.308070e+11           None        2.015200e+10      2.382700e+10         5.612900e+10              NaN                   None       8.401400e+10                None           2.024600e+10     4.674710e+11    6.333600e+10                   NaN            6.097200e+11          3.681200e+10         345000000.0             None          6.468770e+11            2.388000e+09   6.763480e+11                None                  NaN               None      6.787360e+11       -3.185900e+10          None               NaN                        NaN          7.339970e+11            NaN       7.784650e+11             2.680700e+10                       None               47000000.0          8.079300e+11         -7.393300e+10     1.183000e+09         -4.127300e+10           2.982190e+11           2.569460e+11               None                None              None      4.890000e+08       1.606000e+09         8.140000e+08            609000000.0                NaN           NaN        32000000.0        None -3.385000e+09          NaN            -6.507000e+09                    NaN             None      -2.029850e+11       1.998980e+11         NaN              6.333600e+10               None                        None          None       -4.127300e+10          6.251600e+10              None      4.893900e+10         2.247000e+09           None  3.421000e+09  3.687000e+09      2.535250e+11      2.945320e+11           0
2   000001.SZ  20241019   20241019  20240930         2           1        3           NaN      None         None           None     1.357230e+11              NaN                NaN               None               None           None            None   1.689260e+11             None           3.054400e+10               NaN        1.256150e+11        5.385470e+11           None        1.616300e+10      1.660900e+10         4.334700e+10              NaN                   None       6.189400e+10                None           1.886100e+10     4.013890e+11    1.371580e+11                   NaN            4.362880e+11          2.742000e+10         187000000.0             None          4.638950e+11            1.121000e+09   4.733130e+11                None                  NaN               None      4.744340e+11       -1.053900e+10          None               NaN                        NaN          5.130400e+11            NaN       6.377610e+11             1.888000e+10                       None               47000000.0          6.585720e+11         -1.455320e+11    -5.940000e+08         -1.950700e+10           2.982190e+11           2.787120e+11               None                None              None               NaN                NaN                  NaN                    NaN                NaN           NaN               NaN        None           NaN          NaN                      NaN                    NaN             None                NaN                NaN         NaN                       NaN               None                        None          None                 NaN          4.802600e+10              None               NaN                  NaN           None           NaN           NaN               NaN               NaN           0
3   000001.SZ  20240816   20240816  20240630         2           1        2  2.587900e+10      None         None           None     2.546370e+11              NaN                NaN               None               None           None            None   1.156750e+11             None           1.000000e+07               NaN        1.042720e+11        5.087840e+11           None        1.199700e+10      1.220700e+10         5.063100e+10              NaN                   None       4.576000e+10                None           1.420600e+10     3.950620e+11    1.137220e+11                   NaN            2.748310e+11          1.918500e+10          81000000.0             None          2.940970e+11            6.310000e+08   2.653730e+11                None                  NaN               None      2.660040e+11        2.809300e+10          None               NaN                        NaN          4.529440e+11            NaN       5.796630e+11             1.888100e+10                       None                      NaN          5.998250e+11         -1.468810e+11     1.032000e+09         -4.034000e+09           2.982190e+11           2.941850e+11               None                None              None      2.000000e+06       8.300000e+08         3.970000e+08            304000000.0                NaN           NaN        -1000000.0        None -2.205000e+09          NaN             3.412000e+09                    NaN             None      -2.072720e+11       2.828540e+11         NaN              1.137220e+11               None                        None          None       -4.034000e+09          4.713500e+10              None      2.315100e+10         1.155000e+09           None  3.339000e+09  3.687000e+09      2.908460e+11      2.945320e+11           0
4   000001.SZ  20240420   20240420  20240331         2           1        1           NaN      None         None           None     7.979700e+10              NaN                NaN               None               None           None            None   5.960100e+10             None           9.400000e+09               NaN        2.684900e+10        2.217520e+11           None        8.251000e+09      3.837000e+09         9.865100e+10              NaN                   None       1.990000e+10                None           1.092900e+10     2.431340e+11   -2.138200e+10                   NaN            1.159170e+11          7.709000e+09          17000000.0             None          1.236430e+11            2.410000e+08   1.150910e+11                None                  NaN               None      1.153320e+11        8.311000e+09          None      2.947640e+11                        NaN          2.947640e+11            NaN       2.685390e+11             2.742000e+09                       None                      NaN          2.719630e+11          2.280100e+10     9.230000e+08          1.065300e+10           2.982190e+11           3.088720e+11               None                None              None               NaN                NaN                  NaN                    NaN                NaN           NaN               NaN        None           NaN          NaN                      NaN                    NaN             None                NaN                NaN         NaN                       NaN               None                        None          None                 NaN          2.573500e+10              None               NaN                  NaN           None           NaN           NaN               NaN               NaN           0
5   000001.SZ  20240315   20240315  20231231         2           1        4  4.645500e+10      None         None           None     1.426030e+11     1.666500e+10                NaN               None               None           None            None   2.515640e+11             None                    NaN               NaN        2.496900e+10        5.290350e+11           None        2.234600e+10      3.200000e+10         1.636640e+11              NaN                   None       8.129800e+10                None           6.497200e+10     4.365740e+11    9.246100e+10                   NaN            4.021050e+11          3.840100e+10         219000000.0             None          4.407250e+11            3.096000e+09   4.637710e+11                None                  NaN               None      4.668670e+11       -2.614200e+10          None               NaN                        NaN          9.334160e+11            NaN       9.088070e+11             1.377300e+10                       None                      NaN          9.253270e+11          8.089000e+09     1.485000e+09          7.589300e+10           2.223260e+11           2.982190e+11               None                None              None      7.700000e+07       1.897000e+09         7.890000e+08            746000000.0                NaN           NaN        -7000000.0        None -4.051000e+09          NaN            -1.536000e+09                    NaN             None      -1.774340e+11       1.907780e+11         NaN              9.246100e+10               None                        None          None        7.589300e+10          7.082400e+10              None      5.901700e+10         2.491000e+09           None  3.687000e+09  4.162000e+09      2.945320e+11      2.181640e+11           0
6   000001.SZ  20240315   20240315  20231231         2           1        4  4.645500e+10      None         None           None     1.426030e+11     1.666500e+10                NaN               None               None           None            None   2.515640e+11             None                    NaN               NaN        2.496900e+10        5.290350e+11           None        2.234600e+10      3.200000e+10         1.636640e+11              NaN                   None       8.129800e+10                None           6.497200e+10     4.365740e+11    9.246100e+10                   NaN            4.021050e+11          3.840100e+10         219000000.0             None          4.407250e+11            3.096000e+09   4.637710e+11                None                  NaN               None      4.668670e+11       -2.614200e+10          None               NaN                        NaN          9.334160e+11            NaN       9.088070e+11             1.377300e+10                       None                      NaN          9.253270e+11          8.089000e+09     1.485000e+09          7.589300e+10           2.223260e+11           2.982190e+11               None                None              None      7.700000e+07       1.897000e+09         7.890000e+08            746000000.0                NaN           NaN        -7000000.0        None -4.051000e+09          NaN            -1.536000e+09                    NaN             None      -1.774340e+11       1.907780e+11         NaN              9.246100e+10               None                        None          None        7.589300e+10          7.082400e+10              None      5.901700e+10         2.491000e+09           None  3.687000e+09  4.162000e+09      2.945320e+11      2.181640e+11           1
7   000001.SZ  20231025   20231025  20230930         2           1        3           NaN      None         None           None     1.421730e+11     6.222700e+10                NaN               None               None           None            None   1.927730e+11             None                    NaN               NaN        2.578100e+10        4.395900e+11           None        1.811500e+10      2.611300e+10         1.560720e+11     3.830000e+08                   None       5.849800e+10                None           1.915600e+10     3.236600e+11    1.159300e+11                   NaN            3.134390e+11          2.794300e+10         146000000.0             None          3.415280e+11            2.173000e+09   2.893260e+11                None                  NaN               None      2.914990e+11        5.002900e+10          None               NaN                        NaN          6.489890e+11            NaN       7.274340e+11             1.058100e+10                       None                      NaN          7.400120e+11         -9.102300e+10     3.453000e+09          7.838900e+10           2.223260e+11           3.007150e+11               None                None              None               NaN                NaN                  NaN                    NaN                NaN           NaN               NaN        None           NaN          NaN                      NaN                    NaN             None                NaN                NaN         NaN                       NaN               None                        None          None                 NaN          4.523200e+10              None               NaN                  NaN           None           NaN           NaN               NaN               NaN           0
8   000001.SZ  20230824   20230824  20230630         2           1        2  2.538700e+10      None         None           None     1.417240e+11              NaN                NaN               None               None           None            None   1.308020e+11             None           2.060000e+08               NaN        2.487200e+10        3.431930e+11           None        1.363200e+10      2.120700e+10         1.491760e+11              NaN                   None       3.795200e+10                None           1.480000e+10     2.989520e+11    4.424100e+10                   NaN            2.107270e+11          1.906900e+10          95000000.0             None          2.298910e+11            9.490000e+08   1.902330e+11                None                  NaN               None      1.911820e+11        3.870900e+10          None               NaN                        NaN          4.728270e+11   2.311219e+10       4.694730e+11             1.050900e+10                       None                      NaN          4.813910e+11         -8.564000e+09     3.351000e+09          7.773700e+10           2.223260e+11           3.000630e+11               None                None              None      3.900000e+07       9.760000e+08         3.690000e+08            337000000.0                NaN           NaN        -8000000.0        None -5.471000e+09          NaN             8.560000e+08                    NaN             None      -1.429160e+11       1.472090e+11         NaN              4.424100e+10               None                        None          None        7.773700e+10          8.095000e+09              None      3.232200e+10         1.251000e+09           None  3.502000e+09  4.162000e+09      2.965610e+11      2.181640e+11           1
9   000001.SZ  20230425   20230425  20230331         2           1        1           NaN      None         None           None     2.078380e+11              NaN                NaN               None               None           None            None   6.618300e+10             None           1.509000e+09               NaN        2.613900e+10        3.577210e+11           None        9.246000e+09      4.652000e+09         1.285550e+11              NaN                   None       1.946600e+10                None           1.396700e+10     2.485650e+11    1.091560e+11                   NaN            9.175600e+10          8.284000e+09         130000000.0             None          1.001700e+11            3.940000e+08   9.275100e+10                None                  NaN               None      9.314500e+10        7.025000e+09          None      1.634570e+11                        NaN          1.634570e+11            NaN       2.081210e+11             2.772000e+09                       None                      NaN          2.115500e+11         -4.809300e+10    -7.790000e+08          6.730900e+10           2.223260e+11           2.896350e+11               None                None              None               NaN                NaN                  NaN                    NaN                NaN           NaN               NaN        None           NaN          NaN                      NaN                    NaN             None                NaN                NaN         NaN                       NaN               None                        None          None                 NaN          9.555000e+09              None               NaN                  NaN           None           NaN           NaN               NaN               NaN           0
